cpv_code,table_class,position,index_type,classification,ateco_code,index_description
90630000-2,D3,11,PPS,ATECO,81,Attività di servizi per edifici e paesaggio
90630000-2,D3,12,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
90630000-2,D3,21,IR,ATECO,81,Attività di servizi per edifici e paesaggio
90640000-5,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90640000-5,D3,11,PPS,ATECO,81,Attività di servizi per edifici e paesaggio
90640000-5,D3,12,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
90640000-5,D3,21,IR,ATECO,81,Attività di servizi per edifici e paesaggio
90670000-4,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90670000-4,D3,11,PPS,ATECO,81,Attività di servizi per edifici e paesaggio
90670000-4,D3,12,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
90670000-4,D3,21,IR,ATECO,81,Attività di servizi per edifici e paesaggio
90680000-7,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90680000-7,D3,11,PPS,ATECO,81,Attività di servizi per edifici e paesaggio
90680000-7,D3,12,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
90680000-7,D3,21,IR,ATECO,81,Attività di servizi per edifici e paesaggio
92700000-8,D3,1,PPS,ATECO,61,Telecomunicazioni
92700000-8,D3,11,PC,ECOICOP,00ST,indice generale senza tabacchi
98310000,D3,1,IR,ATECO,9601,Lavanderia e pulitura di articoli tessili e pelliccia
98310000,D3,11,PPI,ATECO,13,Industrie tessili
98310000,D3,21,PPI,ATECO,0020,TOTALE INDUSTRIA ESCLUSE COSTRUZIO NI (b-e)
98341100-6,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
98341100-6,D3,11,IR,ATECO,821,Attività di supporto per le funzioni d'ufficio
98341100-6,D3,21,IR,ATECO,811,Servizi integrati di gestione agli edifici
98341110-9,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
98341110-9,D3,11,IR,ATECO,821,Attività di supporto per le funzioni d'ufficio
98341110-9,D3,21,IR,ATECO,811,Servizi integrati di gestione agli edifici
98341120-2,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
98341120-2,D3,11,IR,ATECO,821,Attività di supporto per le funzioni d'ufficio
98341120-2,D3,12,IR,ATECO,811,Servizi integrati di gestione agli edifici
98341120-2,D3,13,IR,ATECO,80,Servizi di vigilanza e investigazione
98341120-2,D3,21,PPS,ATECO,80,Servizi di vigilanza e investigazione
98341130-5,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
98341130-5,D3,11,IR,ATECO,821,Attività di supporto per le funzioni d'ufficio
98341130-5,D3,12,IR,ATECO,811,Servizi integrati di gestione agli edifici
98341130-5,D3,13,IR,ATECO,80,Servizi di vigilanza e investigazione
98341130-5,D3,21,PPS,ATECO,80,Servizi di vigilanza e investigazione
98341140-8,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
98341140-8,D3,11,PPS,ATECO,80,Servizi di vigilanza e investigazione
98341140-8,D3,21,IR,ATECO,80,Servizi di vigilanza e investigazione
98342000-2,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
98342000-2,D3,11,IR,ATECO,821,Attività di supporto per le funzioni d'ufficio
98380000-0,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
98380000-0,D3,11,IR,ATECO,9609,Attività di servizi per la persona nca
98392000-7,D3,1,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
98392000-7,D3,11,IR,ATECO,52,Magazzinaggio e attività di supporto ai trasporti
